area,city,latitude,longitude,population_density,avg_income,avg_rent,metro_distance_km,hospitals_nearby,schools_nearby,competition_score,office_density,growth_rate,sentiment_score
Sector 18,Noida,28.57,77.326,85,75000,85000,0.3,8,12,8.5,9.0,5.5,8.5
Sector 62,Noida,28.627,77.368,72,82000,55000,0.5,5,15,6.0,8.5,8.0,7.5
Sector 63,Noida,28.621,77.381,68,78000,50000,1.2,4,12,5.5,8.0,8.5,7.0
Sector 15,Noida,28.583,77.316,78,70000,60000,0.8,6,14,7.0,7.5,6.0,7.5
Sector 50,Noida,28.568,77.354,70,80000,65000,1.0,5,13,6.5,8.0,7.0,8.0
Sector 137,Noida,28.508,77.357,55,65000,40000,2.5,3,9,4.5,6.0,10.0,7.0
Sector 76,Noida,28.574,77.383,60,68000,45000,1.8,4,11,5.0,6.5,9.5,7.5
Sector 44,Noida,28.561,77.319,65,72000,48000,1.5,5,12,5.5,7.0,8.0,7.5
Cyber City,Gurgaon,28.495,77.087,90,95000,120000,0.2,10,8,9.0,9.5,6.0,9.0
Sohna Road,Gurgaon,28.423,77.042,62,85000,75000,2.0,6,10,6.0,7.0,9.0,8.0
MG Road,Gurgaon,28.48,77.08,88,90000,95000,0.4,9,9,8.5,9.0,5.5,8.5
Sector 56,Gurgaon,28.423,77.08,65,80000,70000,2.5,5,11,5.5,7.0,8.0,7.5
Golf Course Road,Gurgaon,28.458,77.102,75,88000,90000,1.5,7,10,7.5,8.5,7.0,8.5
Udyog Vihar,Gurgaon,28.501,77.068,82,85000,80000,1.8,6,8,7.0,9.0,6.5,8.0
Sector 14,Gurgaon,28.472,77.035,70,75000,65000,2.0,5,9,6.0,7.5,7.5,7.5
Connaught Place,Delhi,28.633,77.2197,95,88000,150000,0.1,12,6,9.5,8.5,3.0,8.0
Lajpat Nagar,Delhi,28.565,77.244,88,72000,90000,0.3,9,10,8.0,6.0,4.0,7.5
Rajouri Garden,Delhi,28.649,77.122,82,68000,75000,0.2,7,12,7.5,5.5,4.5,7.5
Dwarka Sector 10,Delhi,28.5921,77.059,75,65000,55000,0.4,6,14,6.0,5.0,5.5,7.0
Saket,Delhi,28.5245,77.2167,85,85000,100000,0.5,10,11,8.5,7.5,4.0,8.5
Nehru Place,Delhi,28.5491,77.251,80,78000,85000,0.3,8,8,8.0,8.5,3.5,7.5
Karol Bagh,Delhi,28.651,77.19,90,70000,80000,0.4,9,13,8.5,6.5,4.0,7.5
Janakpuri,Delhi,28.628,77.087,78,62000,60000,0.6,7,15,6.5,5.5,5.0,7.0
Rohini Sector 3,Delhi,28.733,77.11,72,58000,45000,0.5,6,14,5.5,4.5,5.5,6.5
Pitampura,Delhi,28.701,77.13,76,65000,55000,0.4,7,13,6.0,5.0,5.0,7.0
Preet Vihar,Delhi,28.643,77.296,74,60000,50000,0.8,6,12,6.5,5.5,5.5,7.0
Green Park,Delhi,28.559,77.209,80,78000,70000,0.6,8,13,7.0,6.5,5.0,8.0
Hauz Khas,Delhi,28.5494,77.209,85,82000,85000,0.7,9,12,7.5,6.0,4.5,8.5
Malviya Nagar,Delhi,28.5355,77.1925,78,72000,65000,0.9,7,14,6.5,5.5,5.5,7.8
Rajnagar Extension,Ghaziabad,28.682,77.449,65,55000,35000,3.5,3,10,4.0,4.5,9.0,6.5
Vaishali,Ghaziabad,28.645,77.338,70,68000,42000,0.6,5,13,5.5,6.0,7.0,7.5
Indirapuram,Ghaziabad,28.643,77.37,73,70000,45000,1.2,6,14,6.0,6.5,7.5,7.5
Crossings Republik,Ghaziabad,28.658,77.412,60,52000,32000,3.0,4,11,4.0,4.0,10.0,6.5
Vasundhara,Ghaziabad,28.648,77.356,66,62000,40000,2.2,5,13,5.5,5.5,8.0,7.0
Greater Noida West,Greater Noida,28.6139,77.429,52,48000,28000,4.0,3,9,3.5,3.5,11.0,6.5
Knowledge Park,Greater Noida,28.4744,77.484,45,55000,30000,5.0,3,8,3.0,4.0,10.5,6.0
Raj Nagar,Greater Noida,28.663,77.415,68,58000,38000,2.8,5,12,5.0,5.0,8.5,7.0
